Νομός_Δήμος_Κοινότητα,Νέες_οικοδομές,Προσθήκες,Επισκευές,Αναπαλαιώσεις,Κατεδαφίσεις
Μαλακάσης                     ,18,1,0,0,2 
Μαρκοπούλου Ωρωπού            ,19,3,2,0,1 
Νέων Παλατίων                 ,13,1,1,0,0 

Παλαιάς Φωκαίας               ,10,3,2,0,1 
Πικερμίου                     ,101,7,4,0,3 
Πολυδενδρίου                  ,25,3,0,0,2 
Ροδοπόλεως (Μπάλας)           ,6,0,0,0,2 
Σαρωνίδος                     ,41,6,1,0,4 
Σκάλας Ωρωπού                 ,5,0,0,0,0 
ΝΟΜΑΡΧΙΑ_ΔΥΤΙΚΗΣ_ΑΤΤΙΚΗΣ        ,1020,218,35,1,46 
Ελευσίνος                     ,73,32,8,1,10 
’νω Λιοσίων                   ,382,29,1,0,6 
Ασπροπύργου                   ,119,39,8,0,10 
Βιλίων                        ,40,6,4,0,1 
Ερυθρών                       ,6,3,1,0,0 
Ζεφυρίου                      ,39,12,2,0,4 
Μάνδρας                       ,36,17,4,0,6 
Μεγαρέων                      ,231,48,5,0,6 
Νέας Περάμου                  ,26,11,0,0,0 
Φυλής                         ,36,8,1,0,0 
Μαγούλας                      ,30,13,1,0,3 
Οινόης                        ,2,0,0,0,0 
ΝΟΜΑΡΧΙΑ_ΠΕΙΡΑΙΩΣ               ,1283,516,275,6,747 
Πειραιώς                      ,290,103,109,2,297 
Αγίου Ιωάννου Ρέντη           ,15,8,4,0,12 
Αιγίνης                       ,184,49,28,1,17 
Βαθέος                        ,4,0,0,0,0 
Κυψέλης                       ,1,0,0,0,0 
Μεσαγρού                      ,1,0,0,0,0 
Πέρδικας                      ,0,0,0,0,0 
Αμπελακίων                    ,14,8,1,0,0 
Δραπετσώνας                   ,29,11,3,0,31 
Κερατσινίου                   ,120,91,4,0,115 
Κορυδαλλού                    ,74,37,12,0,44 
Κυθήρων                       ,54,17,19,2,4 
Λουτροπόλεως Μεθάνων          ,7,1,3,1,0 
Νικαίας                       ,187,88,19,0,167 
Περάματος                     ,56,33,6,0,35 
Πόρου                         ,18,6,16,0,3 
Σαλαμίνος                     ,140,40,7,0,10 
Αιαντείου                     ,4,2,1,0,3 
Σπετσών                       ,34,14,20,0,9 
Γαλατά                        ,23,4,5,0,0 
’νω Φαναρίου                  ,0,0,0,0,0 
Τροιζήνος                     ,5,1,1,0,0 

Ύδρας                         ,10,2,16,0,0 
Αγκιστρίου                    ,13,1,1,0,0 
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ      ,2500,644,367,8,273 
ΝΟΜΟΣ ΔΡΑΜΑΣ                    ,402,146,64,2,13 
Δράμας                        ,181,59,26,1,11 
Καλλιφύτου                    ,12,1,1,0,0 
Καλού Αγρού                   ,1,1,0,0,0 
Κουδουνίων                    ,3,4,1,0,0 
Μαυροβάτου                    ,2,0,0,0,0 
Μοναστηρακίου                 ,4,2,0,0,0 
Μυλοποτάμου                   ,5,1,0,0,0 
Νικοτσάρας (της πρώην κοινότητας Αργυρουπόλεως 521107)      ,1,0,1,0,0 

Ξηροποτάμου                   ,6,2,1,0,0 
Χωριστής                      ,8,2,0,0,0 
Κυρίων                        ,6,1,1,0,0 
Αγίου Αθανασίου               ,3,5,3,0,0 
Δοξάτου                       ,34,23,11,0,1 
Κεφαλαρίου                    ,1,1,0,0,0 
Πηγαδίων                      ,1,0,0,0,0 
Καλαμπακίου                   ,25,10,2,0,0 
Αγίας Παρασκευής              ,0,1,0,0,0 
Καλαμώνος                     ,0,1,0,0,0 
Νεροφράκτου                   ,1,0,0,0,0 
Φτελιάς                       ,3,1,0,0,0 
Κάτω Νευροκοπίου              ,10,1,0,0,0 
Βώλακος                       ,4,1,0,0,0 
Γρανίτου                      ,2,0,0,0,0 
Λευκογείων                    ,1,0,0,0,0 
Οχυρού                        ,1,0,0,0,0 
Περιθωρίου                    ,0,0,0,0,0 
Χρυσοκεφάλου                  ,1,0,0,0,0 
Νικηφόρου                     ,7,0,0,0,0 
Αδριανής                      ,2,2,2,0,0 
Πτελέας Πλατανιάς             ,0,0,0,0,0 
Υψηλής Ράχης                  ,1,0,0,0,0 
Παρανεστίου                   ,5,0,0,0,0 
Προσοτσάνης                   ,40,14,11,0,1 
Γραμμένης                     ,2,0,0,0,0 
Καλής Βρύσης                  ,1,0,0,1,0 
Κοκκινογείων                  ,3,2,0,0,0 
Μικροπόλεως                   ,1,0,1,0,0 

Πετρούσσης                    ,6,2,2,0,0 
Φωτολίβους                    ,5,2,0,0,0 
Αργυρούπολις                  ,1,1,0,0,0 
Μαυρολεύκης                   ,2,1,0,0,0 
Μικροκάμπου                   ,0,1,0,0,0 
Σιταγρών                      ,10,3,1,0,0 
Σιδηρονέρου                   ,0,1,0,0,0 
ΝΟΜΟΣ ΚΑΒΑΛΑΣ                   ,649,144,110,3,36 
Καβάλας                       ,86,19,26,2,28 
Νέας Καρβάλης                 ,10,8,3,0,0 
Χαλκερού                      ,6,0,0,0,0 
Ελευθερουπόλεως               ,23,5,3,0,0 
Αμισιανών                     ,8,3,2,0,0 
Αντιφιλίππων                  ,5,1,3,0,0 
Κηπίων                        ,1,1,0,0,0 
Κοκκινοχώματος                ,14,0,0,0,0 
Χρυσοκάστρου                  ,1,0,0,0,0 
Νέας Περάμου                  ,18,4,5,0,1 
Αγίου Ανδρέου                 ,1,1,0,0,0 
Ελαιοχωρίου                   ,4,4,0,0,0 
Ελευθερών                     ,6,0,0,0,0 
Μυρτοφύτου                    ,5,0,0,0,0 
Νέας Ηρακλίτσης               ,23,1,3,0,0 
Φωλεάς                        ,1,2,0,0,0 
Θάσου                         ,23,2,11,0,0 
Θεολόγου                      ,16,7,5,0,0 
Καλλιράχης                    ,4,0,2,0,0 
Λιμεναρίων                    ,20,3,3,0,0 
Μαριών                        ,4,1,1,0,0 
Παναγίας                      ,16,2,2,0,1 
Ποταμιάς                      ,22,5,1,0,0 
Πρίνου                        ,9,1,6,0,1 
Ραχωνίου                      ,10,0,0,0,0 
Σωτήρος                       ,5,0,2,0,0 
Κεραμωτής                     ,29,8,2,0,1 
Αγιάσματος                    ,2,1,0,0,0 
Νέας Καρυάς                   ,8,4,0,0,0 
Πηγών                         ,0,0,0,0,0 
Λεκάνης                       ,1,0,0,0,0 
Μακρυχωρίου                   ,1,1,0,0,0 
Γαληψού                       ,2,0,0,0,0 
Ακροποτάμου                   ,0,1,0,0,0 
Καριανής                      ,33,0,2,0,0 
Ορφανίου                      ,19,0,0,0,0 

Οφρυνίου                      ,43,1,0,0,0 
Ποδοχωρίου                    ,6,2,0,0,0 
Νικήσιανης                    ,6,4,0,0,0 
Γεωργιανής                    ,3,0,2,0,1 
Παλαιοχωρίου                  ,4,1,0,0,0 
Μουσθένης                     ,1,0,0,0,0 
Αυλής                         ,2,1,0,0,0 
Δωματίων                      ,3,0,0,0,0 
Μελισσοκομείου                ,0,0,0,0,0 
Μεσορόπης                     ,2,2,2,0,0 
Πλατανοτόπου                  ,1,2,0,0,0 
Σιδηροχωρίου                  ,1,0,0,0,0 
Κρηνίδων                      ,22,8,4,0,0 
Αμυγδαλεώνος                  ,17,4,2,0,2 
Ζυγού                         ,10,3,1,0,0 
Κορυφών                       ,1,0,0,0,0 
Κρυονερίου                    ,10,3,0,0,0 
Λυδίας                        ,3,1,0,0,1 
Παλαιάς Καβάλας               ,1,0,1,0,0 
Πολυστύλου                    ,8,0,3,0,0 
Φιλίππων                      ,6,0,0,0,0 
Χρυσουπόλεως                  ,33,14,5,1,0 
Αβραμυλιάς                    ,2,0,0,0,0 
Γέροντα                       ,3,2,0,0,0 
Γραβούνης                     ,1,1,1,0,0 
Διαλεκτού                     ,1,0,0,0,0 
Ερατεινού                     ,1,1,1,0,0 
Ζαρκαδιάς                     ,7,0,0,0,0 
Ξεριά                         ,0,1,2,0,0 
Πέρνης                        ,5,0,2,0,0 
Πετροπηγής                    ,2,0,2,0,0 
Ποντολιβάδου                  ,2,2,0,0,0 
Χρυσοχωρίου                   ,6,6,0,0,0 
ΝΟΜΟΣ ΕΒΡΟΥ                     ,506,138,119,0,86 
Αλεξανδρουπόλεως              ,230,54,31,0,77 
’βαντος                       ,11,1,0,0,0 
Αισύμης                       ,1,0,0,0,0 
Μάκρης                        ,21,0,1,0,1 
Νέας Βύσσης                   ,7,3,0,0,0 
Καστανεών                     ,1,0,0,0,0 
Στέρνας                       ,0,0,0,0,0 
Διδυμοτείχου                  ,35,18,26,0,1 
Ελληνοχωρίου                  ,2,1,0,0,0 
Πετράδων                      ,1,0,0,0,0 

Πραγγίου                      ,1,0,0,0,0 
Σοφικό (της πρώην κοινότητας Θουρίου 712110)  ,0,0,0,0,0 

Κυπρίνος                      ,1,1,0,0,0 
Φυλακίου                      ,0,0,0,0,0 
Μεταξάδων                     ,2,0,0,0,0 
Αλεποχωρίου                   ,0,1,1,0,0 
Δόξης                         ,0,1,0,0,0 
Ορεστιάδος                    ,93,45,36,0,5 
Αμπελακίων                    ,1,1,0,0,0 
Βάλτου                        ,0,1,1,0,0 
Θούριο Θουρίου (της πρώην κοινότητας Θουρίου 712110)     ,1,0,0,0,0 

Νεοχωρίου                     ,2,0,1,0,0 
Λαβάρων                       ,3,0,1,0,0 
Αμορίου                       ,1,0,0,0,0 
Μαυροκκλησίου                 ,1,0,0,0,0 
Μικρού Δερείου                ,15,3,2,0,0 
Πρωτοκκλησίου                 ,2,1,0,0,0 
Σαμοθράκης                    ,13,1,0,0,1 
Σουφλίου                      ,6,1,1,0,0 
Ανθείας                       ,7,2,1,0,0 
Δωρικού                       ,7,0,0,0,0 
Λουτρού                       ,3,0,1,0,0 
Νίψης                         ,1,0,0,0,0 
Δικαίων                       ,3,0,0,0,0 
’ρζου                         ,1,0,0,0,0 
Κομάρων                       ,0,0,1,0,0 
Μαρασίων                      ,1,0,0,0,0 
Πενταλόφου                    ,1,0,1,0,0 
Πετρωτών                      ,1,0,0,0,0 
Πλάτης                        ,1,0,0,0,0 
Τυχερού                       ,9,1,0,0,0 
Λευκίμμης                     ,0,0,0,0,0 
Προβατώνος                    ,1,0,0,0,1 
Φερών                         ,18,2,14,0,0 
Δορίσκου                      ,1,0,0,0,0 
ΝΟΜΟΣ ΞΑΝΘΗΣ                    ,456,72,7,2,94 
Ξάνθης                        ,147,23,5,1,92 
Ευμοίρου                      ,47,3,0,0,0 
Κιμμερίων                     ,15,7,0,0,0 
Αβδήρων                       ,3,0,0,0,0 
Μάνδρας                       ,3,0,0,0,0 
Νέας Κεσσάνης                 ,5,0,0,0,0 

Γενισέας                      ,26,2,1,0,0 
Διομηδείας                    ,37,7,0,0,0 
Κουτσού                       ,1,0,0,0,0 
Μαγικού                       ,11,0,0,0,0 
Πολυσίτου                     ,2,0,0,0,0 
Σελίνου                       ,1,0,0,0,0 
Σουνίου                       ,5,1,0,0,0 
Μύκης                         ,31,7,0,1,0 
Εχίνου                        ,20,3,0,0,0 
Ωραίου                        ,1,1,0,0,0 
Σταυρουπόλεως                 ,3,1,0,0,0 
Γέρακα                        ,1,0,0,0,0 
Δαφνώνος                      ,1,0,0,0,0 
Καρυοφύτου                    ,2,1,0,0,0 
Κομνηνών                      ,1,0,0,0,0 
Νεοχωρίου                     ,1,0,0,0,0 
Ευλάλου                       ,20,5,0,0,0 
Αβάτου                        ,3,0,0,0,0 
Εξοχής                        ,7,0,0,0,0 
Ερασμίου                      ,3,4,0,0,0 
Μαγγάνων                      ,1,0,0,0,0 
Ολβίου                        ,0,0,0,0,1 
Τοξοτών                       ,12,0,0,0,0 
Θερμών                        ,6,0,0,0,0 
Κοτύλης                       ,9,1,0,0,0 
Σελέρου                       ,31,6,1,0,1 
ΝΟΜΟΣ ΡΟΔΟΠΗΣ                   ,487,144,67,1,44 
Κομοτηνής                     ,288,67,29,0,37 
Ανθοχώριον (της πρώην κοινότητας Αράτου 732101)         ,2,0,0,0,0 

Αιγείρου                      ,30,8,1,0,2 
Αρωγή (της πρώην κοινότητας Μέσης 731115)    ,4,0,0,0,0 

Αρριανά                       ,23,5,2,0,0 
Σκάλωμα (της πρώην κοινότητας Φιλλύρας 732109) ,1,0,1,0,0 

Ιάσμου                        ,29,19,12,0,0 
Ξυλαγανής                     ,19,4,1,0,0 
Μαρωνείας                     ,7,3,4,0,1 
Νέου Σιδηροχωρίου             ,11,3,0,0,0 
Αγίων Θεοδώρων                ,0,1,0,0,0 
Σαπών                         ,22,12,7,0,2 
Σώστης                        ,27,13,7,1,2 
Φιλλύρα                       ,18,6,2,0,0 

Αμαξάδων                      ,5,2,1,0,0 
Κέχρου                        ,1,0,0,0,0 
Οργάνης                       ,0,1,0,0,0 
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ               ,7185,1383,1335,20,672 
ΝΟΜΟΣ ΗΜΑΘΙΑΣ                   ,510,267,37,5,26 
Βέροιας                       ,120,32,6,1,19 
Αγία Βαρβάρα                  ,4,2,0,0,0 
’μμος (της πρώην κοινότητας Αγίας Βαρβάρας 531101)  ,4,1,0,0,0 

Ασώματα (της πρώην κοινότητας Αγίας Βαρβάρας 531101) ,10,1,0,0,0 

Γεωργιανών                    ,3,0,0,0,0 
Καστανέας                     ,3,0,0,0,0 
Κάτω Βερμίου                  ,3,1,0,0,0 
Κουμαριάς                     ,8,0,0,0,0 
Ράχης                         ,7,4,0,0,1 
Τριποτάμου                    ,10,6,0,0,0 
Αλεξανδρείας                  ,67,53,1,0,1 
Κοπανού                       ,15,15,1,0,1 
Επισκοπής Νάουσας             ,2,2,0,0,0 
Λευκαδίων                     ,6,2,1,0,0 
Μαρίνης                       ,6,5,0,0,0 
Μονοσπίτων                    ,2,0,0,0,0 
Χαριέσσης                     ,1,0,0,0,0 
Καβασίλων                     ,1,4,0,0,0 
Ξεχασμένης                    ,3,1,0,0,0 
Παλαιού Σκυλλιτσίου           ,1,0,0,0,0 
Σταυρού                       ,3,1,0,0,0 
Μακροχωρίου                   ,29,24,4,0,0 
Διαβατού                      ,2,2,0,0,0 
Κουλούρας                     ,3,3,1,0,0 
Λυκόγιαννης                   ,2,1,0,0,0 
Νέας Νικομηδείας              ,2,3,0,0,0 
Βεργίνης                      ,11,1,0,0,0 
Μετόχιο Προδρόμου (της πρώην κοιν/τας Αγίας Βαρβάρας 531101)   ,1,0,1,0,0 

Παλατιτσίων                   ,2,3,0,0,0 
Αγίου Γεωργίου                ,13,5,0,0,0 
Αγίας Μαρίνης                 ,3,3,0,0,0 
Πατρίδος                      ,9,5,0,0,0 
Τριλόφου                      ,5,6,0,0,0 
Φυτείας                       ,6,0,1,0,0 

Αγγελοχωρίου                  ,6,8,0,0,0 
Ζερβοχωρίου                   ,3,0,0,0,0 
Πολυπλατάνου                  ,3,3,0,0,0 
Ριζωμάτων                     ,2,0,0,0,0 
Δασκίου                       ,0,1,0,0,0 
Πολυδένδρου                   ,1,0,0,0,0 
Σφηκιάς                       ,6,2,0,0,0 
Μελίκης                       ,16,17,0,0,0 
Νεοκάστρου                    ,0,3,0,0,0 
Ναούσης                       ,56,25,20,4,3 
Αρκοχωρίου                    ,0,0,0,0,0 
Γιαννακοχωρίου                ,3,0,0,0,0 
Ροδοχωρίου                    ,4,2,0,0,0 
Στενημάχου                    ,1,2,0,0,0 
Πλατέος                       ,42,18,1,0,1 
ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ              ,3474,381,894,9,550 
Θεσσαλονίκης                  ,205,9,325,3,132 
Αγίου Αθανασίου               ,24,7,5,0,1 
Αγχιάλου                      ,10,7,5,0,0 
Βαθυλάκκου                    ,4,3,1,0,0 
Γεφύρας                       ,7,3,1,0,1 
Νέας Μεσημβρίας               ,19,6,3,0,0 
Ξηροχωρίου                    ,0,1,0,0,0 
Ασπροβάλτας                   ,43,11,17,0,4 
Βρασνών                       ,14,2,3,0,0 
Αγίου Παύλου                  ,13,1,5,0,6 
Αμπελοκήπων                   ,24,3,11,0,22 
Κυμίνων                       ,18,1,5,0,1 
Βραχιάς                       ,1,0,0,0,0 
Νέων Μαλγάρων                 ,14,5,4,0,0 
Νέας Απολλωνίας               ,11,2,1,0,0 
Μελισσουργού                  ,2,0,0,0,0 
Νικομηδινού                   ,1,1,0,0,0 
Περιστερώνας                  ,2,0,0,0,0 
Στίβου                        ,2,0,2,0,0 
Αρεθούσης                     ,4,0,2,0,0 
Μαυρούδας                     ,1,0,0,0,0 
Φιλαδελφίου                   ,1,0,0,0,0 
Ασσήρου                       ,15,6,2,0,0 
Κριθιάς (Κριθέας)             ,6,1,0,0,1 
Βασιλικών                     ,43,3,5,0,0 
Αγίας Παρασκευής              ,28,1,1,0,0 
Αγίου Αντωνίου                ,7,1,0,0,0 
Περιστεράς                    ,5,1,0,0,1 

Σουρωτής                      ,51,0,0,0,1 
Όσσης                         ,1,0,0,0,0 
Βερτίσκου                     ,7,1,0,0,0 
Εξαλόφου                      ,4,1,0,0,0 
Λοφίσκου                      ,0,0,1,0,0 
Προφήτου                      ,2,2,0,0,0 
Ευαγγελισμού                  ,4,0,0,0,0 
Σχολαρίου                     ,2,1,0,0,0 
Ελευθερίου Κορδελιού          ,74,6,13,0,23 

Επανομής                      ,84,6,13,0,1 
Μεσημερίου                    ,20,1,0,0,0 
Ευόσμου                       ,236,14,45,0,86 
Σίνδου                        ,92,26,22,0,3 
Διαβατών                      ,44,10,11,0,4 
Καλοχωρίου                    ,34,10,11,0,1 
Νέας Μαγνησίας                ,24,5,8,1,5 
Περαίας                       ,57,0,14,1,5 
Αγίας Τριάδος                 ,11,1,5,0,1 
Νέων Επιβατών                 ,49,1,7,0,5 
Θέρμης                        ,67,9,26,0,4 
Νέας Ραιδεστού                ,46,5,5,0,5 
Νέου Ρυσίου                   ,43,1,0,0,4 
Ταγαράδων                     ,34,0,1,0,2 
Καλαμαριάς                    ,102,4,44,0,20 
Ζαγκλιβερίου                  ,11,0,0,0,0 
Αδάμ                          ,11,3,0,0,0 
Καλαμωτού                     ,2,1,0,0,0 
Πετροκεράσων                  ,29,15,3,0,2 
Πενταλόφου                    ,9,1,8,0,2 
Μεσαίου                       ,1,1,1,0,0 
Νέας Φιλαδελφείας             ,0,1,0,0,0 
Νεοχωρούδας                   ,2,0,0,0,1 
Γερακαρούς                    ,6,0,0,0,0 
Αρδαμερίου                    ,1,3,1,0,0 
Βασιλουδίου                   ,6,1,1,0,0 
Λαγκαδικίων                   ,1,0,1,0,0 
Κουφαλίων                     ,30,29,18,0,1 
Προχώματος                    ,13,1,1,0,0 
Λαγκαδά                       ,86,17,23,0,12 
Ηρακλείου                     ,13,1,0,0,0 
Καβαλλαρίου                   ,8,3,0,0,0 
Κολχικού                      ,6,0,1,0,0 
Λαγυνών                       ,14,0,5,0,0 
Περιβολακίου                  ,5,3,1,0,0 
Χρυσαυγής                     ,2,0,0,0,0 

Ξυλοπόλεως                    ,1,0,1,0,0 
Καρτερών                      ,4,0,0,0,0 
Λαχανά                        ,11,2,0,0,1 
Λευκοχωρίου                   ,1,0,1,0,0 
Νέας Μαδύτου                  ,8,0,0,0,0 
Μοδίου                        ,0,0,1,0,0 
Μενεμένης                     ,28,2,5,0,8 
Νέας Μηχανιώνας               ,64,6,18,0,0 
Αγγελοχωρίου                  ,10,0,1,0,0 
ΝΚερασιάς                    ,21,3,1,0,0 
Τριλόφου                      ,120,1,2,0,6 
Καρδιάς                       ,76,1,3,0,5 
Κάτω Σχολαρίου                ,9,2,1,0,0 
Πλαγιαρίου                    ,77,4,8,0,3 
Λητής                         ,35,0,5,0,2 
Δρυμού                        ,28,4,3,0,0 
Μελισσοχωρίου                 ,38,4,2,0,0 
Νεαπόλεως                     ,20,0,6,0,16 
Πανοράματος                   ,100,5,18,0,12 
Πολίχνης                      ,109,6,9,1,24 
Πυλαίας                       ,158,7,17,0,18 
Σταυρού                       ,5,1,1,0,0 
’νω Σταυρού                   ,0,0,1,0,0 
Βόλβης                        ,12,2,2,0,2 
Σοχού                         ,11,3,4,1,0 
Ασκού                         ,2,0,0,0,0 
Κρυονερίου                    ,2,0,0,0,0 
Σταυρουπόλεως                 ,84,5,16,1,27 
Συκεών                        ,46,0,15,0,28 
Τριανδρίας                    ,3,1,2,0,3 
Χαλάστρας                     ,27,10,10,1,0 
Ανατολικού                    ,4,2,8,0,0 
Χαλκηδόνος                    ,13,5,3,0,0 
Αδένδρου                      ,4,5,1,0,0 
Ελεούσης                      ,2,0,1,0,0 
Μικρού Μοναστηρίου            ,5,2,1,0,1 
Παρθενίου                     ,0,5,0,0,0 
Ασβεστοχωρίου                 ,31,1,1,0,6 
Εξοχής                        ,1,0,0,0,0 
Φιλύρου                       ,32,2,3,0,2 
Χορτιάτη                      ,57,6,4,0,5 
Ωραιοκάστρου                  ,183,14,21,0,11 
Ευκαρπίας                     ,63,8,6,0,3 
Πεύκων                        ,101,3,4,0,10 
ΝΟΜΟΣ ΚΙΛΚΙΣ                    ,409,61,21,0,12 

Κιλκίς                        ,159,18,3,0,9 
Κρηστώνης                     ,1,1,0,0,0 
Αξιουπόλεως                   ,32,7,1,0,0 
Γοργόπη                       ,1,1,0,0,0 
Ρυζιών                        ,0,1,0,0,0 
Καμπάνη                       ,5,1,1,0,0 
Γαλλικού                      ,32,5,3,0,1 
Μανδρών                       ,1,0,0,0,0 
Νέας Σάντας                   ,5,0,0,0,0 
Πεδινού                       ,1,0,0,0,0 
Χρυσοπέτρας                   ,1,0,0,0,0 
Γουμένισσας (Γουμενίσσης)     ,8,4,5,0,0 
Γρίβας                        ,2,0,0,0,0 
Κάρπης                        ,1,0,0,0,0 
Φιλυρίας                      ,0,0,0,0,0 
Δροσάτου                      ,12,1,0,0,0 
Ευρωπού                       ,14,5,1,0,1 
Αγίου Πέτρου                  ,2,0,1,0,1 
Τερπύλλου                     ,18,1,1,0,0 
Αγίου Μάρκου                  ,1,0,0,0,0 
Αναβρυτού                     ,1,0,0,0,0 
Βάθης                         ,1,0,0,0,0 
Γερακαρίου                    ,1,0,0,0,0 
Θεοδοσίων                     ,1,0,0,0,0 
Κεντρικού                     ,1,0,0,0,0 
Ποντοκερασέας                 ,2,0,0,0,0 
Σταθμού Μουριών               ,0,0,0,0,0 
Αγίας Παρασκευής              ,0,0,0,0,0 
Μουριών                       ,5,0,0,0,0 
Μικροκάμπου                   ,8,3,1,0,0 
Ανθοφύτου                     ,7,0,0,0,0 
Μαυρονερίου                   ,4,0,0,0,0 
Νέου Αγιονερίου (Αγιονερίου)  ,2,0,0,0,0 
Νέου Γυναικοκάστρου           ,0,0,0,0,0 
Παλαιού Αγιονερίου            ,7,1,0,0,0 
Πολυκάστρου                   ,43,10,2,0,0 
’σπρου                        ,0,0,0,0,0 
Βαφιοχωρίου                   ,0,0,0,0,0 
Ευζώνων                       ,0,1,0,0,0 
Μικρού Δάσους                 ,0,0,0,0,0 
Πευκοδάσους                   ,2,0,0,0,0 
Ποντοηρακλείας                ,1,0,0,0,0 
Χέρσου                        ,21,1,2,0,0 
Πλαγιάς                       ,2,0,0,0,0 
Λιβαδίων                      ,4,0,0,0,0 

ΝΟΜΟΣ ΠΕΛΛΗΣ                    ,336,77,36,0,8 
Εδέσσης                       ,52,13,9,0,4 
’γρα                          ,1,1,0,0,0 
Βρυτών                        ,0,1,0,0,0 
Καρυδιάς                      ,3,1,0,0,1 
Ριζαρίου                      ,0,1,0,0,0 
